Song Title,Lyrics
Beautiful Crazy (Live),"[Verse 1: Luke Combs & Leon Bridges]
Her day starts with a coffee and ends with a wine
Takes forever getting ready so she's never on time for anything
When she gets that ""come get me"" look in her eye
Well, it kinda scares me, the way that she drives me wild
She drives me wild

[Chorus: Luke Combs & Leon Bridges, Leon Bridges]
Beautiful, crazy, she can't help but amaze me
The way that she dances, ain't afraid to take chances
And wears her heart on her sleeve
Yeah, she's crazy, but her crazy's beautiful to me

[Verse 2: Luke Combs]
She makes plans for the weekend, can't wait to go out
Till she changes her mind
Says, ""Let's stay on the couch and watch TV""
And she falls asleep

[Chorus: Luke Combs & Leon Bridges, Leon Bridges]
Beautiful, crazy, she can't help but amaze me
The way that she dances, ain't afraid to take chances
And wears her heart on her sleeve
Yeah, she's crazy, but her crazy's beautiful to me

[Bridge: Luke Combs]
She's unpredictable, unforgettable
It's unusual, unbelievable
How I'm such a fool, yeah, I'm such a fool for her
See Luke Combs LiveGet tickets as low as $78You might also like[Chorus: Luke Combs & Leon Bridges, Leon Bridges]
Beautiful, crazy, she can't help but amaze me
The way that she dances, ain't afraid to take chances
And wears her heart on her sleeve
Yeah, she's crazy, she's crazy, she's crazy
But her crazy's beautiful to me
Her crazy's beautiful to me
BeautifulEmbed"
Be Careful What You Wish For,"[Verse 1]
Couldn't wait to ride out of that one horse town
Didn't see no use in sticking around
I was green and busting at the seams to leave
I was sitting on G, waiting on O
The day I hit eighteen, I hit the road
Traded that county maintain for a four lane city street

[Pre-Chorus]
But sometimes things ain't what you think they're gonna be
What you want ain't always what you need

[Chorus]
Don't know what you got 'til it's gone
And you're out on your own
All you want is what you can't get back
Once you let it go, then you know what you have
Don't hold a candle to what you had
Sometimes what you think you'll find
It ain't quite what real life has in store
So be careful what you wish for

[Verse 2]
She was holding on just a little too tight
Talked a little too much about the rest of our lives
I broke her heart thinking freedom would set me free
Well sometimes things ain't what you think they're gonna be
See Luke Combs LiveGet tickets as low as $78You might also like[Chorus]
Don't know what you got 'til it's gone
And you're out on your own
All you want is what you can't get back
Once you let it go, then you know what you have
Don't hold a candle to what you had
Sometimes what you think you'll find
It ain't quite what real life has in store
So be careful what you wish for

[Bridge]
'Cause these city lights can't shine quite like the stars
I wish I could wish her back into my arms

[Chorus]
Don't know what you got 'til it's gone
And you're out on your own
All you want is what you can't get back
Once you let it go, then you know what you have
Don't hold a candle to what you had
Sometimes what you think you'll find
It ain't quite what real life has in store
And you can't get her back no more
So be careful what you wish for
Be careful what you wish for1Embed"
Beer Can,"[Verse 1]
I’ve been working this job 9 – 5
Minimum wage and overtime
But here comes a few days of unpaid vacation
And there ain’t no way José I'll waste them
'Cause there ain’t no better feeling than when

[Chorus]
I pick up a beer can and get to feeling like superman
Its Friday night y'all, here's the plan
I'm gonna throw back a couple and
Keep 'em glued to my right hand
Any flavor, size, or brand
Until the point where I can’t stand
No nothing picks me up like a beer can

[Verse 2]
I woke up at I pm
And introduced myself to my new girlfriend
And there’s a wrecking ball sized hole in the wall in the basement
I ain't got no clue how or who could have made it
Well all I know is shit hit the fan
And here we go again

[Chorus]
I pick up a beer can and get to feeling like superman
Its Saturday y'all, here's the plan
I'm gonna throw back a couple and
Keep 'em glued to my right hand
Any flavor, size, or brand
Until the point where I can’t stand
No nothing picks me up like a beer can
See Luke Combs LiveGet tickets as low as $78You might also like[Bridge]
Well it's Sunday now and I'm freaking out
'Cause I can’t handle five days without

[Chorus]
Yeah, picking up a beer can and get to feeling like superman
It's Sunday, who gives a damn?
I'm gonna throw back a couple and
Keep 'em glued to my right hand
Any flavor, size, or brand
Until the point where I can’t stand
No nothing picks me up like a beer can

[Outro]
Like a beer can
No nothing picks me up like a beer can1Embed"
Beer Never Broke My Heart,"[Verse 1]
I've had a largemouth bass bust my line
A couple beautiful girls tell me goodbye
Trucks break down, dogs run off
Politicians lie, been fired by the boss

[Pre-Chorus]
It takes one hand
To count the things I can count on
No, there ain't much, man
That ain't never let me down

[Chorus]
Longneck ice-cold beer never broke my heart
Like diamond rings and football teams have torn this boy apart
Like a neon dream, it just dawned on me that bars and this guitar
And longneck ice-cold beer never broke my heart

[Verse 2]
She was a Carolina blue jean baby
Fire in her eyes that drove me crazy
It was red taillights when she left town
If I didn't know then, I sure know now

[Chorus]
But longneck ice-cold beer never broke my heart
Like diamond rings and football teams have torn this boy apart
Like a neon dream, it just dawned on me that bars and this guitar
And longneck ice-cold beer never broke my heart, yeah
See Luke Combs LiveGet tickets as low as $78You might also like[Pre-Chorus]
Well, it takes one hand
To count the things I can count on
But I got one hand
That's grippin' down on a cold one

[Chorus]
'Cause longneck ice-cold beer never broke my heart
Like diamond rings and football teams have torn this boy apart
Like a neon dream, it just dawned on me, that bars, and this guitar
And longneck ice-cold beer never broke my heart, no
It never broke my heart1Embed"
Better Back When,"[Verse 1]
We snuck in the back of that college town frat
'Cause they wouldn't let us in the front
Threw their Miller Time keg in a Chevrolet bed
And we let them horses run
Cut a path through the grass, yelling, ""Kiss my ass!""
With a middle finger in the wind
We laughed, we drank, every now and then I think
Man, I'd love to do that again

[Chorus]
Those were some good times
Those were the best nights
Thе freedom you feel when you're learning to fly
And thе song on the radio was singin' our lives
I can't say that the moon in the sky
Was shinin' any brighter than it is tonight
But it looked on fire back then
It probably wasn't, but it seemed a little better back when

[Verse 2]
Gravel lot spot by the porta J'ohns
'Bout a quarter mile from the door
Worked three weeks for a pair of cheap seats
To hear ""Never Wanted Nothing More""
We were feelin' that buzz from a summertime love
And a bottle tucked in a boot
It's crazy to think that looking back now
But back then, we never knew
See Luke Combs LiveGet tickets as low as $78You might also like[Chorus]
Those were some good times
Those were the best nights
The freedom you feel when you're learning to fly
And the song on the radio was singin' our lives
I can't say that the moon in the sky
Was shinin' any brighter than it is tonight
But it looked on fire back then
It probably wasn't, but it seemed a little better back when

[Bridge]
I ain't sayin' that right now ain't right where I wanna be
But I swear time adds a little shine to a long-gone memory

[Chorus]
Those were some good times
Those were the best nights
The freedom you feel when you're learning to fly
And the song on the radio was singin' our lives
I can't say that the moon in the sky
Was shinin' any brighter than it is tonight
But it looked on fire back then
It probably wasn't, but it seemed a little better back when

[Outro]
Yeah, it seemed a little better back whenEmbed"
Better Together,"[Verse 1]
A 40 HP Johnson on a flat bottom metal boat
Coke cans and BB guns, barbed wire and old fence posts
8-point bucks in autumn and freshly cut cornfields
One arm out the window and one hand on the wheel

[Chorus]
Some things just go better together and probably always will
Like a cup of coffee and a sunrise, Sunday drives and time to kill
What's the point of this ol' guitar if it ain't got no strings?
Or pourin' your heart into a song that you ain't gonna sing?
It's a match made up in heaven, like good ol' boys and beer
And me, as long as you're right here

[Verse 2]
Your license in my wallet when we go out downtown
Your lipstick's stained every coffee cup that I got in this house
The way you say, ""I love you, too"" is like rain on an old tin roof
And your hand fits right into mine like a needle in a groove

[Chorus]
Some things just go better together and probably always will
Like a cup of coffee and a sunrise, Sunday drives and time to kill
What's the point of this ol' guitar if it ain't got no strings?
Or pourin' your heart into a song that you ain't gonna sing?
It's a match made up in heaven, like good ol' boys and beer
And me, as long as you're right here
See Luke Combs LiveGet tickets as low as $78You might also like[Bridge]
Sometimes we're oil and water
But I wouldn't have it any other way
And if I'm being honest
Your first and my last name

[Chorus]
Would just sound better together and probably always will
Like a cup of coffee and a sunrise, Sunday drives and time to kill
What's the point of this ol' guitar if it ain't got no strings?
Or pourin' your heart into a song that you ain't gonna sing?
It's a match made up in heaven, like good ol' boys and beer
And me, as long as you're right here
And me, as long as you're right here18Embed"
Blue Collar Boys,"[Verse 1]
We were just river kids
Pickin' up stones like David did
Watchin' them longnecks break off of a freight train bridge
We went to church in a Detroit car
Our daddies drank draft at the local bar
With an achin' back just like old Granddad did

[Chorus]
And we like cold keg beer and fixin' up trucks
Old bird dogs and the woman we love
Maxwell House steamin' out of a coffee cup
We say our prayers, send 'em to the sky
Bust our backs, barely getting by
Carolina to California up to Illinois
Yeah, there's guys like us
Blue collar boys

[Verse 2]
We're the white paint peeling off a picket fence
The rust stains covering a Craftsman wrench
When the sun's coming up you can bet we're clocking in
Cash our paycheck, two day break, and do it again

[Chorus]
We like cold keg beer and fixin' up trucks
Old bird dogs and the woman we love
Maxwell House steamin' out of a coffee cup
We say our prayers, send 'em to the sky
Bust our backs, barely getting by
Carolina to California up to Illinois
Yeah, there's guys like us
Blue collar boys
See Luke Combs LiveGet tickets as low as $78You might also like[Bridge]
We're worn out boots and old Levi's
The wind behind the stars and stripes

[Chorus]
And we like cold keg beer and fixin' up trucks
Old bird dogs and the woman we love
Maxwell House steamin' out of a coffee cup
We say our prayers, send 'em to the sky
Bust our backs, barely getting by
Carolina to California up to Illinois
Yeah, there's guys like us
Yeah, there's guys like us
Blue collar boys
Blue collar boysEmbed"
Call Me,"[Verse 1]
I know you're gonna call me an S.O.B.
First class white trash from B.F.E.
I know you're gonna call me every name in the book
Whatever makes you feel good
And I know you're gonna call me out of your league
Tell all your friends that was a one-time thing
Smoke a few smokes, drink a few drinks
And really tell 'em what you think

[Chorus]
You're gonna call me crazy
A low-down, no account fool
And you're gonna say you hate me
Girl, do what you gotta do
But when you're 2AM buzzin', late night needin' loving
And it's lookin' like you're leavin' lonely
Baby, we both know you're gonna call me

[Verse 2]
Yeah, you wish I'd change and I wish I could
It's bad when it's bad, when it's good, it's good
You love me and hate me and somewhere in between
I know my phone's gonna ring

[Chorus]
You're gonna call me crazy
A low-down, no account fool
And you're gonna say you hate me
Girl, do what you gotta do
But when you're 2AM buzzin', late night needin' loving
And it's lookin' like you're leavin' lonely
Baby, we both know you're gonna call me
See Luke Combs LiveGet tickets as low as $78You might also like[Bridge]
Call me stubborn and hard-headed
Call me rough around the edges
I don't care what you call me
Just call me

[Instrumental Break]

[Chorus]
You're gonna call me crazy
A low-down, no account fool
And you're gonna say you hate me
Girl, do what you gotta do
But when you're 2AM buzzin', late night needin' loving
And it's lookin' like you're leavin' lonely
Baby, we both know you're gonna call me

[Outro]
Gonna call meEmbed"
Can I Get an Outlaw?,"[Verse 1]
Back in the day it was a six gun, and a six-string
Man, that was country
And that's the way country still ought to be
It was lived, not taught, it was earned, not bought
Had to put in the work to get to the top
Let me tell you, what I thinks really gone wrong

[Pre-Chorus]
These days it's all wannabes singing someone else's songs
Everybody's doing the same damn thing
Where have the rebels gone?

[Chorus]
'Cause we don't need
Another pretty boy, singin' pretty songs
Fake country boys, doin' country all wrong
Need another Haggard, or a Johnny Cash
Somebody chewing tobacco, and whipping ass
I need preacher, I need a savior
How about y'all?
Can I get an outlaw?

[Verse 2]
It don't have to be honkytonks, boots, and Wrangler jeans
It ain't the banjo or the fiddle, no
It's the words and what they mean
If you gonna talk the talk, you better walk the walk
And brother, that's the truth
So honestly, what would Waylon do?
See Luke Combs LiveGet tickets as low as $78You might also like[Pre-Chorus]
I can guarantee that if he was alive today
He'd ask us one more time
""Hoss you sure Hank done it this way?""

[Chorus]
'Cause we don't need
Another pretty boy, singin' pretty songs
Fake country boys, doin' country all wrong
Need another Haggard, or a Johnny Cash
Somebody chewin' tobacco, and whippin' ass
I need preacher, I need a savior, how 'bout y'all?
Can I get an outlaw?

[Bridge]
Are the good times really gone for good?
Or can we get back to our roots?
It's about that time we raise the bar
So raise a glass if you feel like I do

[Chorus]
'Cause we don't need
Another pretty boy, singing pretty songs
Fake country boys, doin' country all wrong
Need another Haggard, or a Johnny Cash
Somebody chewin' tobacco, and whippin' ass
I need preacher, I need a savior, how 'bout y'all?
Can I get an outlaw?
[Outro]
I pray country answers my call
Can I get an outlaw?
Oh, can I get an outlaw?1Embed"
Cold As You,"[Verse 1]
It's a junked out joint off a backroad
A blinkin' window sign with an arrow
A gravel Iot chock full o' toolbox trucks
Makin' their happy hour way home

[Pre-Chorus]
When guys like me lose girls like you
That's where we run to

[Chorus]
They got ""Whiskey River"" on the jukebox
A honky tonk sawdust dance floor
A neon, five o'clock, pro clock
And plenty damn many when you want one more
This broke-heart fool on an old bar stool
Drinkin' beer almost as cold as you

[Verse 2]
Bunch of good time numbers on the stall door
A picture o' you on the dart board
Them cinder block walls ain't ever been cleaned
Still ain't as dirty as you done me

[Chorus]
""Whiskey River"" on the jukebox
A honky-tonk sawdust dance floor
A neon, five o'clock, pro clock
And plenty damn many when you want one more
This broke-heart fool on an old bar stool
Drinkin' beer almost as cold as you
See Luke Combs LiveGet tickets as low as $78You might also like[Instrumental]

[Pre-Chorus]
When guys like me lose girls like you
That's where we run to

[Chorus]
We got ""Whiskey River"" on a jukebox
A honky-tonk sawdust dance floor
A neon, five o'clock, pro clock
And plenty damn many when you want one more
This broke-heart fool on an old bar stool
Drinkin' beer almost as cold as you

[Outro]
Cold as you2Embed"
Crazy beautiful,d
Days Like These,"[Verse 1]
Days like these are worth more than gold
But they can't be bought and they can't be sold
On days like these when the sun shines bright
I feel like it's all gonna be alright

[Chorus]
When the sky is blue and the grass is green
How much better can it be?
If I got you and you've got me
We got everything we need
And even if it grew on trees
Money can't buy days like these

[Verse 2]
Don't come around as much as they ought to
So soak 'em up when they do
Thosе days like these
Thеy don't get forgot
If you think it though
They're all we got

[Chorus]
When the sky is blue and the grass is green
How much better can it be?
If I got you and you've got me
We got everything we need
Even it grew on trees
Money can't buy days like these
See Luke Combs LiveGet tickets as low as $78You might also like[Chorus]
When the sky is blue and the grass is green
How much better can it be?
If I got you and you've got me
We got everything we need
Yeah, even it grew on trees
Well I'd probably miss the leaves
No, money can't buy days like these
No, money can't buy days like theseEmbed"
Dear Today,"[Verse 1]
Dear Today, Tomorrow here
Man, I was just checkin' in, hope you've been well
Me? I'm doin' alright, could always be better
Seein' as you're the only one with a choice in the matter
If I know you, hell, you're too busy
To do damn near anything that you ought to
Guess what I'm sayin' is, is if you don't change
Boy, you'll be kickin' yourself one of these days

[Chorus]
So maybe you should call our mama and have a drink with our old man
Quit wastin' our sweet time and put that diamond on her hand
Stop takin' me for granted like I'll always be around
'Cause even as you read this, boy, that clock is tickin' down
And remember every second I got's borrowed
So I hope you think of me today
Sincerely, Tomorrow

[Verse 2]
Listen, I ain't tryin' to bring you down
'Cause I know damn better than pushin' you around
I guess I was just lookin' out for you and me both
'Cause we both lose if I told you so

[Chorus]
So maybe you should call our mama and have a drink with our old man
Quit wastin' our sweet time and put that diamond on her hand
Stop takin' me for granted like I'll always be around
'Cause even as you read this, boy, that clock is tickin' down
And remember every second I got's borrowed
So I hope you think of me today
Sincerely, Tomorrow
See Luke Combs LiveGet tickets as low as $78You might also like[Instrumental Break]

[Outro]
Dear Today, Tomorrow here
Man, I was just checkin' in, hope you been well2Embed"
Dive,"[Verse 1]
Oh, maybe I came on too strong
Maybe I waited too long
Maybe I played my cards wrong
Oh, just a little bit wrong
Baby I apologize for it

[Pre-Chorus]
I could fall, or I could fly
Here in your aeroplane
And I could live, I could die
Hangin' on the words you say
And I've been known to give my all
And jumpin' in harder than
Ten thousand rocks on the lake

[Chorus]
So don't call me baby
Unless you mean it
Don't tell me you need me
If you don't believe it
So let me know the truth
Before I dive right into you

[Verse 2]
You're a mystery
I have travelled the world
And there's no other girl like you
No one, what's your history? (What's your history?)
Do you have a tendency to lead some people on?
'Cause I heard you do, mmh
See Luke Combs LiveGet tickets as low as $78You might also like[Pre-Chorus]
I could fall, or I could fly
Here in your aeroplane
And I could live, I could die
Hanging on the words you say
And I've been known to give my all
And lie awake, every day
Don't know how much I can take

[Chorus]
So don't call me baby
Unless you mean it
Don't tell me you need me
If you don't believe it
So let me know the truth
Before I dive right into you

[Bridge]
I could fall, or I could fly
Here in your aeroplane
And I could live, I could die
Hangin' on the words you say
And I've been known to give my all
Sittin' back, lookin' at
Every mess that I made
[Chorus]
So don't call me baby
Unless you mean it
Don't tell me you need me
If you don't believe it
So let me know the truth
Before I dive right into you
Before I dive right into you
Before I dive right into you1Embed"
